"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.571074583E-1	4.368469238E0	-4.413576508E1	-3.531213379E1	5.669211652E1
1.671484584E-1	4.368469238E0	-4.413576508E1	-3.531213379E1	5.669211652E1
1.771884584E-1	4.173049927E0	-4.407915115E1	-3.557058716E1	5.679482884E1
1.872284584E-1	4.173049927E0	-4.407915115E1	-3.557058716E1	5.679482884E1
1.972384584E-1	4.428726196E0	-4.410749817E1	-3.549990845E1	5.679197576E1
2.072784584E-1	4.428726196E0	-4.410749817E1	-3.549990845E1	5.679197576E1
2.173184584E-1	4.283767700E0	-4.397995377E1	-3.529666138E1	5.655476375E1
2.273594583E-1	4.283767700E0	-4.397995377E1	-3.529666138E1	5.655476375E1
2.373994584E-1	4.538986206E0	-4.403623199E1	-3.540664673E1	5.668705987E1
2.474094584E-1	4.538986206E0	-4.403623199E1	-3.540664673E1	5.668705987E1
2.574494584E-1	4.392654419E0	-4.390840530E1	-3.566317749E1	5.673716329E1
2.674894584E-1	4.392654419E0	-4.390840530E1	-3.566317749E1	5.673716329E1
2.775304584E-1	4.508132935E0	-4.395628357E1	-3.568801880E1	5.679888039E1
2.875704584E-1	4.508132935E0	-4.395628357E1	-3.568801880E1	5.679888039E1
2.975804583E-1	4.642333984E0	-4.406887817E1	-3.562826538E1	5.685939309E1
3.076204584E-1	4.642333984E0	-4.406887817E1	-3.562826538E1	5.685939309E1
3.176604584E-1	4.589859009E0	-4.387140274E1	-3.569461060E1	5.674391606E1
3.277014584E-1	4.589859009E0	-4.387140274E1	-3.569461060E1	5.674391606E1
3.377414583E-1	4.593368530E0	-4.387346649E1	-3.571292114E1	5.675731524E1
3.477514584E-1	4.593368530E0	-4.387346649E1	-3.571292114E1	5.675731524E1
3.577914584E-1	4.403762817E0	-4.382497406E1	-3.573196411E1	5.671679414E1
3.678314583E-1	4.403762817E0	-4.382497406E1	-3.573196411E1	5.671679414E1
3.778714584E-1	4.356216431E0	-4.400224686E1	-3.537832642E1	5.662861759E1
3.878814584E-1	4.356216431E0	-4.400224686E1	-3.537832642E1	5.662861759E1
3.979214584E-1	4.252456665E0	-4.407131958E1	-3.537957764E1	5.667520720E1
4.079624583E-1	4.252456665E0	-4.407131958E1	-3.537957764E1	5.667520720E1
4.180024584E-1	4.182662964E0	-4.404959488E1	-3.540365601E1	5.666815982E1
4.280424584E-1	4.182662964E0	-4.404959488E1	-3.540365601E1	5.666815982E1
4.380524583E-1	4.329681396E0	-4.407652664E1	-3.540844727E1	5.670312584E1
4.480924584E-1	4.329681396E0	-4.407652664E1	-3.540844727E1	5.670312584E1
4.581334584E-1	4.095642090E0	-4.379672241E1	-3.519738770E1	5.633634066E1
4.681734584E-1	4.095642090E0	-4.379672241E1	-3.519738770E1	5.633634066E1
4.781800833E-1	4.164077759E0	-4.358161163E1	-3.548327637E1	5.635387580E1
4.881900834E-1	4.164077759E0	-4.358161163E1	-3.548327637E1	5.635387580E1
4.982300834E-1	4.271530151E0	-4.360019302E1	-3.548101807E1	5.637486536E1
5.082710834E-1	4.271530151E0	-4.360019302E1	-3.548101807E1	5.637486536E1
5.183110834E-1	4.282806396E0	-4.377227020E1	-3.548480225E1	5.651128436E1
5.283510834E-1	4.282806396E0	-4.377227020E1	-3.548480225E1	5.651128436E1
5.383610834E-1	4.208847046E0	-4.346312332E1	-3.543737793E1	5.623668942E1
5.484010833E-1	4.208847046E0	-4.346312332E1	-3.543737793E1	5.623668942E1
5.584410834E-1	4.321212769E0	-4.390246582E1	-3.552001953E1	5.663718895E1
5.684820834E-1	4.321212769E0	-4.390246582E1	-3.552001953E1	5.663718895E1
5.785220833E-1	4.162033081E0	-4.402045441E1	-3.562237549E1	5.678095245E1
5.885320834E-1	4.162033081E0	-4.402045441E1	-3.562237549E1	5.678095245E1
5.985720834E-1	3.991790771E0	-4.422854233E1	-3.535702515E1	5.676458031E1
6.086120834E-1	3.991790771E0	-4.422854233E1	-3.535702515E1	5.676458031E1
6.186530833E-1	4.168563843E0	-4.435075378E1	-3.551705933E1	5.697216679E1
6.286620834E-1	4.168563843E0	-4.435075378E1	-3.551705933E1	5.697216679E1
6.387030834E-1	4.168563843E0	-4.435075378E1	-3.551705933E1	5.697216679E1
6.487430834E-1	4.094741821E0	-4.424510956E1	-3.552368164E1	5.688873867E1
6.587830834E-1	4.094741821E0	-4.424510956E1	-3.552368164E1	5.688873867E1
6.688240834E-1	4.171447754E0	-4.421664047E1	-3.542965698E1	5.681349193E1
6.788330834E-1	4.171447754E0	-4.421664047E1	-3.542965698E1	5.681349193E1
6.888740833E-1	4.314193726E0	-4.392226028E1	-3.555963135E1	5.667684357E1
6.989140834E-1	4.314193726E0	-4.392226028E1	-3.555963135E1	5.667684357E1
7.089540834E-1	4.315429688E0	-4.398448181E1	-3.569302368E1	5.680888586E1
7.189940833E-1	4.315429688E0	-4.398448181E1	-3.569302368E1	5.680888586E1
7.290040834E-1	3.925521851E0	-4.390758896E1	-3.544342041E1	5.656431861E1
