"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.626352083E-1	5.700271606E0	2.060136414E1	4.048858643E0	2.175551785E1
1.726752083E-1	5.700271606E0	2.060136414E1	4.048858643E0	2.175551785E1
1.826852083E-1	6.028396606E0	2.067916870E1	3.593383789E0	2.183762787E1
1.927252082E-1	6.028396606E0	2.067916870E1	3.593383789E0	2.183762787E1
2.027652083E-1	5.580062866E0	2.074333954E1	3.846557617E0	2.182244813E1
2.128062083E-1	5.580062866E0	2.074333954E1	3.846557617E0	2.182244813E1
2.228462083E-1	5.037536621E0	2.069831085E1	4.522430420E0	2.177726393E1
2.328862083E-1	5.037536621E0	2.069831085E1	4.522430420E0	2.177726393E1
2.429262083E-1	4.421264648E0	2.088053131E1	4.578399658E0	2.182901538E1
2.529362083E-1	4.421264648E0	2.088053131E1	4.578399658E0	2.182901538E1
2.629772082E-1	4.709335327E0	2.081112671E1	4.624359131E0	2.183267119E1
2.730172083E-1	4.709335327E0	2.081112671E1	4.624359131E0	2.183267119E1
2.830572083E-1	4.297058105E0	2.077321625E1	4.529479980E0	2.169118278E1
2.930972083E-1	4.297058105E0	2.077321625E1	4.529479980E0	2.169118278E1
3.031382083E-1	4.173126221E0	2.086528778E1	4.587005615E0	2.176731121E1
3.131472083E-1	4.173126221E0	2.086528778E1	4.587005615E0	2.176731121E1
3.231882083E-1	4.599578857E0	2.078312683E1	4.348907471E0	2.172573319E1
3.332282082E-1	4.599578857E0	2.078312683E1	4.348907471E0	2.172573319E1
3.432682083E-1	4.881637573E0	2.062178040E1	3.880157471E0	2.154399763E1
3.533092083E-1	4.881637573E0	2.062178040E1	3.880157471E0	2.154399763E1
3.633492083E-1	5.446777344E0	2.049990845E1	3.354797363E0	2.147482934E1
3.733592083E-1	5.446777344E0	2.049990845E1	3.354797363E0	2.147482934E1
3.833992083E-1	6.154968262E0	2.038729858E1	2.689056396E0	2.146524172E1
3.934392083E-1	6.154968262E0	2.038729858E1	2.689056396E0	2.146524172E1
4.034792082E-1	6.692153931E0	2.022915649E1	1.835998535E0	2.138631776E1
4.135202083E-1	6.692153931E0	2.022915649E1	1.835998535E0	2.138631776E1
4.235602083E-1	7.132400513E0	2.003533173E1	1.103210449E0	2.129560348E1
4.335702083E-1	7.132400513E0	2.003533173E1	1.103210449E0	2.129560348E1
4.436102083E-1	7.373992920E0	2.016038513E1	8.255615234E-1	2.148251503E1
4.536502083E-1	7.373992920E0	2.016038513E1	8.255615234E-1	2.148251503E1
4.636912083E-1	7.633270264E0	2.000023651E1	6.926269531E-1	2.141859023E1
4.737312082E-1	7.633270264E0	2.000023651E1	6.926269531E-1	2.141859023E1
4.837712083E-1	7.523590088E0	1.994441223E1	3.465270996E-1	2.131910102E1
4.938112083E-1	7.523590088E0	1.994441223E1	3.465270996E-1	2.131910102E1
5.038212083E-1	8.214599609E0	1.984112549E1	1.104003906E0	2.150276103E1
5.138622083E-1	8.214599609E0	1.984112549E1	1.104003906E0	2.150276103E1
5.239022083E-1	8.233673096E0	1.973392487E1	1.162170410E0	2.141428970E1
5.339422083E-1	8.233673096E0	1.973392487E1	1.162170410E0	2.141428970E1
5.439822082E-1	9.007186890E0	1.932115173E1	1.198547363E0	2.135117879E1
5.540232083E-1	9.007186890E0	1.932115173E1	1.198547363E0	2.135117879E1
5.640322083E-1	9.867233276E0	1.909752655E1	1.314575195E0	2.153615381E1
5.740732083E-1	9.867233276E0	1.909752655E1	1.314575195E0	2.153615381E1
5.841132083E-1	1.057221985E1	1.881037140E1	8.450927734E-1	2.159435312E1
5.941532083E-1	1.057221985E1	1.881037140E1	8.450927734E-1	2.159435312E1
6.041942083E-1	1.152734375E1	1.843256378E1	6.122131348E-1	2.174888196E1
6.142342082E-1	1.152734375E1	1.843256378E1	6.122131348E-1	2.174888196E1
6.242442083E-1	1.233460999E1	1.804964447E1	-4.509582520E-1	2.186631273E1
6.342842083E-1	1.233460999E1	1.804964447E1	-4.509582520E-1	2.186631273E1
6.443242083E-1	1.361218262E1	1.764543152E1	-1.313323975E0	2.232437208E1
6.543642083E-1	1.361218262E1	1.764543152E1	-1.313323975E0	2.232437208E1
6.644052083E-1	1.459500122E1	1.729957581E1	-2.342773438E0	2.275473514E1
6.744452083E-1	1.459500122E1	1.729957581E1	-2.342773438E0	2.275473514E1
6.844852082E-1	1.561987305E1	1.671014404E1	-2.829559326E0	2.304811823E1
6.944952083E-1	1.561987305E1	1.671014404E1	-2.829559326E0	2.304811823E1
7.045352083E-1	1.587757874E1	1.624490356E1	-3.351959229E0	2.296149013E1
7.145762083E-1	1.587757874E1	1.624490356E1	-3.351959229E0	2.296149013E1
7.246162083E-1	1.655517578E1	1.577612305E1	-3.692871094E0	2.316456778E1
7.346562083E-1	1.655517578E1	1.577612305E1	-3.692871094E0	2.316456778E1
7.446962083E-1	1.756127930E1	1.558492279E1	-3.652465820E0	2.376192028E1
