"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.671384583E-1	2.623490906E1	-1.678828430E1	-2.128475952E1	3.772476549E1
1.771794583E-1	2.624668884E1	-1.666049194E1	-2.121121216E1	3.763477366E1
1.872194583E-1	2.624668884E1	-1.666049194E1	-2.121121216E1	3.763477366E1
1.972294583E-1	2.645158386E1	-1.684967041E1	-2.135693359E1	3.794359359E1
2.072694583E-1	2.645158386E1	-1.684967041E1	-2.135693359E1	3.794359359E1
2.173094583E-1	2.666362000E1	-1.667647552E1	-2.113284302E1	3.788997917E1
2.273504583E-1	2.666362000E1	-1.667647552E1	-2.113284302E1	3.788997917E1
2.373904582E-1	2.639747620E1	-1.654676819E1	-2.119357300E1	3.768009851E1
2.474004583E-1	2.639747620E1	-1.654676819E1	-2.119357300E1	3.768009851E1
2.574404583E-1	2.647480774E1	-1.621625519E1	-2.101452637E1	3.748990125E1
2.674804582E-1	2.647480774E1	-1.621625519E1	-2.101452637E1	3.748990125E1
2.775204583E-1	2.685691833E1	-1.606785583E1	-2.110232544E1	3.774623415E1
2.875614583E-1	2.685691833E1	-1.606785583E1	-2.110232544E1	3.774623415E1
2.976014583E-1	2.688935852E1	-1.597286987E1	-2.085079956E1	3.758890815E1
3.076114582E-1	2.688935852E1	-1.597286987E1	-2.085079956E1	3.758890815E1
3.176514583E-1	2.698661804E1	-1.604595947E1	-2.100588989E1	3.777562414E1
3.276914583E-1	2.698661804E1	-1.604595947E1	-2.100588989E1	3.777562414E1
3.377324583E-1	2.689179993E1	-1.614311981E1	-2.102224731E1	3.775849709E1
3.477724583E-1	2.689179993E1	-1.614311981E1	-2.102224731E1	3.775849709E1
3.577824583E-1	2.734181213E1	-1.616101074E1	-2.118698120E1	3.817906666E1
3.678224583E-1	2.734181213E1	-1.616101074E1	-2.118698120E1	3.817906666E1
3.778624582E-1	2.731056213E1	-1.603667450E1	-2.133300781E1	3.818558570E1
3.879034583E-1	2.731056213E1	-1.603667450E1	-2.133300781E1	3.818558570E1
3.979434583E-1	2.719981384E1	-1.601157379E1	-2.123275757E1	3.803985229E1
4.079534583E-1	2.719981384E1	-1.601157379E1	-2.123275757E1	3.803985229E1
4.179934583E-1	2.709715271E1	-1.579814911E1	-2.120980835E1	3.786414096E1
4.280334583E-1	2.709715271E1	-1.579814911E1	-2.120980835E1	3.786414096E1
4.380734583E-1	2.694425964E1	-1.560999298E1	-2.116058350E1	3.764884198E1
4.481144582E-1	2.694425964E1	-1.560999298E1	-2.116058350E1	3.764884198E1
4.581234583E-1	2.708018494E1	-1.572805786E1	-2.119473267E1	3.781434798E1
4.681644583E-1	2.708018494E1	-1.572805786E1	-2.119473267E1	3.781434798E1
4.782044583E-1	2.708018494E1	-1.572805786E1	-2.119473267E1	3.781434798E1
4.882444583E-1	2.742268372E1	-1.583789062E1	-2.104324341E1	3.802184181E1
4.982854583E-1	2.742268372E1	-1.583789062E1	-2.104324341E1	3.802184181E1
5.083254583E-1	2.746180725E1	-1.565796661E1	-2.101647949E1	3.796070582E1
5.183354582E-1	2.746180725E1	-1.565796661E1	-2.101647949E1	3.796070582E1
5.283754583E-1	2.749134827E1	-1.565466309E1	-2.066598511E1	3.778790344E1
5.384154583E-1	2.749134827E1	-1.565466309E1	-2.066598511E1	3.778790344E1
5.484564583E-1	2.779924011E1	-1.569036865E1	-2.063977051E1	3.801296550E1
5.584964583E-1	2.779924011E1	-1.569036865E1	-2.063977051E1	3.801296550E1
5.685064583E-1	2.817210388E1	-1.556031799E1	-2.063940430E1	3.823317856E1
5.785464583E-1	2.817210388E1	-1.556031799E1	-2.063940430E1	3.823317856E1
5.885864582E-1	2.810148621E1	-1.560543060E1	-2.044589233E1	3.809537380E1
5.986264583E-1	2.810148621E1	-1.560543060E1	-2.044589233E1	3.809537380E1
6.086674583E-1	2.833247375E1	-1.507794952E1	-2.006060791E1	3.784840315E1
6.186764583E-1	2.833247375E1	-1.507794952E1	-2.006060791E1	3.784840315E1
6.287174583E-1	2.859031677E1	-1.493213654E1	-2.006640625E1	3.798730807E1
6.387574583E-1	2.859031677E1	-1.493213654E1	-2.006640625E1	3.798730807E1
6.487833333E-1	2.888676453E1	-1.486071777E1	-1.985061646E1	3.807010732E1
6.588243333E-1	2.888676453E1	-1.486071777E1	-1.985061646E1	3.807010732E1
6.688333333E-1	2.862135315E1	-1.483630371E1	-1.993942261E1	3.790617810E1
6.788743333E-1	2.862135315E1	-1.483630371E1	-1.993942261E1	3.790617810E1
6.889143332E-1	2.857969666E1	-1.497669220E1	-1.985595703E1	3.788613730E1
6.989543333E-1	2.857969666E1	-1.497669220E1	-1.985595703E1	3.788613730E1
7.089953333E-1	2.857286072E1	-1.478361511E1	-1.970330811E1	3.772511094E1
7.190353333E-1	2.857286072E1	-1.478361511E1	-1.970330811E1	3.772511094E1
7.290453333E-1	2.849397278E1	-1.446764374E1	-1.964785767E1	3.751343107E1
7.390853333E-1	2.849397278E1	-1.446764374E1	-1.964785767E1	3.751343107E1
7.491253333E-1	2.852000427E1	-1.466197205E1	-1.962753296E1	3.759792704E1
7.591653332E-1	2.852000427E1	-1.466197205E1	-1.962753296E1	3.759792704E1
7.692063333E-1	2.847459412E1	-1.448111725E1	-1.951947021E1	3.743681322E1
7.792153333E-1	2.847459412E1	-1.448111725E1	-1.951947021E1	3.743681322E1
7.892563333E-1	2.832261658E1	-1.446934509E1	-1.935968018E1	3.723344966E1
7.992963333E-1	2.832261658E1	-1.446934509E1	-1.935968018E1	3.723344966E1
8.093363333E-1	2.841380310E1	-1.432983398E1	-1.940847778E1	3.727435256E1
8.193773333E-1	2.841380310E1	-1.432983398E1	-1.940847778E1	3.727435256E1
8.293863332E-1	2.841145325E1	-1.449975586E1	-1.917791748E1	3.721889459E1
8.394273333E-1	2.841145325E1	-1.449975586E1	-1.917791748E1	3.721889459E1
8.494673333E-1	2.828462219E1	-1.445272827E1	-1.906182861E1	3.704395385E1
8.595073333E-1	2.828462219E1	-1.445272827E1	-1.906182861E1	3.704395385E1
8.695473333E-1	2.851344299E1	-1.422172546E1	-1.893331909E1	3.706405912E1
8.795883333E-1	2.851344299E1	-1.422172546E1	-1.893331909E1	3.706405912E1
8.895983333E-1	2.849241638E1	-1.406770325E1	-1.885659790E1	3.694982206E1
8.996383332E-1	2.849241638E1	-1.406770325E1	-1.885659790E1	3.694982206E1
9.096783333E-1	2.847514343E1	-1.423628998E1	-1.885507202E1	3.700026333E1
9.197183333E-1	2.847514343E1	-1.423628998E1	-1.885507202E1	3.700026333E1
9.297593333E-1	2.848478699E1	-1.444274902E1	-1.901031494E1	3.716676154E1
9.397683333E-1	2.848478699E1	-1.444274902E1	-1.901031494E1	3.716676154E1
