"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
2.039019166E-1	3.247177124E0	-1.667311859E1	-4.624334717E1	4.926443139E1
2.139119166E-1	3.247177124E0	-1.667311859E1	-4.624334717E1	4.926443139E1
2.239519167E-1	3.288589478E0	-1.678630829E1	-4.666314697E1	4.969953976E1
2.339929166E-1	3.288589478E0	-1.678630829E1	-4.666314697E1	4.969953976E1
2.440329166E-1	3.111816406E0	-1.607960510E1	-4.647570801E1	4.927705893E1
2.540729167E-1	3.111816406E0	-1.607960510E1	-4.647570801E1	4.927705893E1
2.640829167E-1	3.096435547E0	-1.546350098E1	-4.657159424E1	4.916931122E1
2.741229166E-1	3.096435547E0	-1.546350098E1	-4.657159424E1	4.916931122E1
2.841639166E-1	2.870071411E0	-1.500916290E1	-4.671304321E1	4.914896425E1
2.942039167E-1	2.870071411E0	-1.500916290E1	-4.671304321E1	4.914896425E1
3.042439166E-1	2.876449585E0	-1.501196289E1	-4.643569946E1	4.888667688E1
3.142539166E-1	2.876449585E0	-1.501196289E1	-4.643569946E1	4.888667688E1
3.242939167E-1	2.709075928E0	-1.464106750E1	-4.646942139E1	4.879658875E1
3.343339167E-1	2.709075928E0	-1.464106750E1	-4.646942139E1	4.879658875E1
3.443749166E-1	2.768081665E0	-1.447295380E1	-4.652087402E1	4.879877445E1
3.544149166E-1	2.768081665E0	-1.447295380E1	-4.652087402E1	4.879877445E1
3.644249167E-1	2.854507446E0	-1.458723450E1	-4.656842041E1	4.888305844E1
3.744649166E-1	2.854507446E0	-1.458723450E1	-4.656842041E1	4.888305844E1
3.845049166E-1	2.992126465E0	-1.442630005E1	-4.665829468E1	4.892920821E1
3.945459167E-1	2.992126465E0	-1.442630005E1	-4.665829468E1	4.892920821E1
4.045859167E-1	2.886856079E0	-1.434934235E1	-4.667056274E1	4.891195141E1
4.145959166E-1	2.886856079E0	-1.434934235E1	-4.667056274E1	4.891195141E1
4.246359166E-1	3.061965942E0	-1.442441559E1	-4.667007446E1	4.894420549E1
4.346759167E-1	3.061965942E0	-1.442441559E1	-4.667007446E1	4.894420549E1
4.447159166E-1	2.960754395E0	-1.448071289E1	-4.685955811E1	4.913527550E1
4.547569166E-1	2.960754395E0	-1.448071289E1	-4.685955811E1	4.913527550E1
4.647669167E-1	2.932891846E0	-1.444955444E1	-4.666250610E1	4.893649920E1
4.748069167E-1	2.932891846E0	-1.444955444E1	-4.666250610E1	4.893649920E1
4.848469166E-1	2.998214722E0	-1.449150085E1	-4.664550781E1	4.893665587E1
4.948869166E-1	2.998214722E0	-1.449150085E1	-4.664550781E1	4.893665587E1
5.049279167E-1	3.038299561E0	-1.450720215E1	-4.677828979E1	4.907034313E1
5.149369166E-1	3.038299561E0	-1.450720215E1	-4.677828979E1	4.907034313E1
5.249779166E-1	2.799072266E0	-1.442994690E1	-4.672970581E1	4.898697356E1
5.350179167E-1	2.799072266E0	-1.442994690E1	-4.672970581E1	4.898697356E1
5.450579167E-1	2.978866577E0	-1.427639771E1	-4.684207153E1	4.905984960E1
5.550989166E-1	2.978866577E0	-1.427639771E1	-4.684207153E1	4.905984960E1
5.651079166E-1	3.045257568E0	-1.452503204E1	-4.667681885E1	4.897933817E1
5.751489167E-1	3.045257568E0	-1.452503204E1	-4.667681885E1	4.897933817E1
5.851889167E-1	2.911544800E0	-1.464094543E1	-4.658584595E1	4.891907010E1
5.952289166E-1	2.911544800E0	-1.464094543E1	-4.658584595E1	4.891907010E1
6.052689167E-1	2.841873169E0	-1.455432892E1	-4.662933350E1	4.893055769E1
6.152789167E-1	2.841873169E0	-1.455432892E1	-4.662933350E1	4.893055769E1
6.253199166E-1	2.983322144E0	-1.433691406E1	-4.658227539E1	4.882986480E1
6.353599166E-1	2.983322144E0	-1.433691406E1	-4.658227539E1	4.882986480E1
6.453999167E-1	3.117263794E0	-1.423588562E1	-4.642071533E1	4.865450221E1
6.554399166E-1	3.117263794E0	-1.423588562E1	-4.642071533E1	4.865450221E1
6.654499166E-1	2.969390869E0	-1.432302094E1	-4.662011719E1	4.886104315E1
6.754899167E-1	2.969390869E0	-1.432302094E1	-4.662011719E1	4.886104315E1
6.855309167E-1	3.176986694E0	-1.411158752E1	-4.667221069E1	4.886231061E1
6.955709166E-1	3.176986694E0	-1.411158752E1	-4.667221069E1	4.886231061E1
7.056109166E-1	3.113555908E0	-1.416443634E1	-4.665487671E1	4.885696478E1
7.156209167E-1	3.113555908E0	-1.416443634E1	-4.665487671E1	4.885696478E1
7.256609167E-1	3.057785034E0	-1.396115875E1	-4.663153076E1	4.877257082E1
7.357019166E-1	3.057785034E0	-1.396115875E1	-4.663153076E1	4.877257082E1
7.457419167E-1	3.017150879E0	-1.436682129E1	-4.661892700E1	4.887569036E1
7.557819167E-1	3.017150879E0	-1.436682129E1	-4.661892700E1	4.887569036E1
7.657919166E-1	3.055252075E0	-1.437143707E1	-4.662072754E1	4.888113138E1
7.758319166E-1	3.055252075E0	-1.437143707E1	-4.662072754E1	4.888113138E1
7.858719167E-1	3.003936768E0	-1.415823364E1	-4.675756836E1	4.894639328E1
7.959129167E-1	3.003936768E0	-1.415823364E1	-4.675756836E1	4.894639328E1
8.059529166E-1	3.168579102E0	-1.437945557E1	-4.665045166E1	4.891904819E1
8.159629166E-1	3.168579102E0	-1.437945557E1	-4.665045166E1	4.891904819E1
8.260029167E-1	3.344131470E0	-1.436596680E1	-4.660720825E1	4.888554059E1
8.360429166E-1	3.344131470E0	-1.436596680E1	-4.660720825E1	4.888554059E1
8.460839166E-1	3.299713135E0	-1.452622986E1	-4.652734375E1	4.885379389E1
8.561239167E-1	3.299713135E0	-1.452622986E1	-4.652734375E1	4.885379389E1
8.661339167E-1	3.001296997E0	-1.431743622E1	-4.645101929E1	4.870004062E1
8.761739166E-1	3.001296997E0	-1.431743622E1	-4.645101929E1	4.870004062E1
8.862139167E-1	3.037338257E0	-1.431785583E1	-4.649996948E1	4.874908800E1
8.962549167E-1	3.037338257E0	-1.431785583E1	-4.649996948E1	4.874908800E1
9.062949166E-1	2.992477417E0	-1.404091644E1	-4.651971436E1	4.868455689E1
9.163049166E-1	2.992477417E0	-1.404091644E1	-4.651971436E1	4.868455689E1
9.263449167E-1	3.083648682E0	-1.415579987E1	-4.655584717E1	4.875799898E1
9.363849167E-1	3.083648682E0	-1.415579987E1	-4.655584717E1	4.875799898E1
9.464249166E-1	3.277313232E0	-1.421649170E1	-4.649255371E1	4.872788697E1
9.564659166E-1	3.277313232E0	-1.421649170E1	-4.649255371E1	4.872788697E1
9.664759167E-1	3.261337280E0	-1.422973633E1	-4.664871216E1	4.887968968E1
9.765159166E-1	3.261337280E0	-1.422973633E1	-4.664871216E1	4.887968968E1
9.865559166E-1	3.141555786E0	-1.436196899E1	-4.689013672E1	4.914082262E1
9.965959167E-1	3.141555786E0	-1.436196899E1	-4.689013672E1	4.914082262E1
1.006636917E0	3.058258057E0	-1.412390137E1	-4.664517212E1	4.883246476E1
1.016645917E0	3.058258057E0	-1.412390137E1	-4.664517212E1	4.883246476E1
1.026686917E0	3.047485352E0	-1.449193573E1	-4.689041138E1	4.917330625E1
1.036687583E0	3.047485352E0	-1.449193573E1	-4.689041138E1	4.917330625E1
1.046727583E0	3.190872192E0	-1.425237274E1	-4.691979980E1	4.914040504E1
1.056768583E0	3.190872192E0	-1.425237274E1	-4.691979980E1	4.914040504E1
1.066777583E0	3.198043823E0	-1.454924011E1	-4.675500488E1	4.907074845E1
1.076818583E0	3.198043823E0	-1.454924011E1	-4.675500488E1	4.907074845E1
1.086858583E0	3.198043823E0	-1.454924011E1	-4.675500488E1	4.907074845E1
1.096898583E0	3.185836792E0	-1.451095581E1	-4.660284424E1	4.891362270E1
1.106938583E0	3.185836792E0	-1.451095581E1	-4.660284424E1	4.891362270E1
1.116948583E0	3.087570190E0	-1.434177399E1	-4.681082153E1	4.905581090E1
1.126989583E0	3.087570190E0	-1.434177399E1	-4.681082153E1	4.905581090E1
1.137029583E0	3.161209106E0	-1.449781799E1	-4.671176147E1	4.901192334E1
1.147069583E0	3.161209106E0	-1.449781799E1	-4.671176147E1	4.901192334E1
1.157109583E0	3.420272827E0	-1.456406403E1	-4.672564697E1	4.906216783E1
1.167119583E0	3.420272827E0	-1.456406403E1	-4.672564697E1	4.906216783E1
1.177159583E0	3.299926758E0	-1.452958679E1	-4.663693237E1	4.895918576E1
1.187200583E0	3.299926758E0	-1.452958679E1	-4.663693237E1	4.895918576E1
1.197240583E0	3.129928589E0	-1.455249023E1	-4.663635254E1	4.895427257E1
1.207280583E0	3.129928589E0	-1.455249023E1	-4.663635254E1	4.895427257E1
1.217290583E0	3.286682129E0	-1.456460571E1	-4.663192749E1	4.896393244E1
1.227330583E0	3.286682129E0	-1.456460571E1	-4.663192749E1	4.896393244E1
1.237371583E0	3.291458130E0	-1.453549194E1	-4.655035400E1	4.887790585E1
1.247411583E0	3.291458130E0	-1.453549194E1	-4.655035400E1	4.887790585E1
