"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.586653750E-1	3.145601023E-3	5.711907428E-4	-2.015757430E-1	2.016010943E-1
1.686753751E-1	-2.169042919E-4	-1.112304870E-3	-2.102576888E-1	2.102607428E-1
1.787153750E-1	3.231500275E-3	7.310938183E-4	-2.122030574E-1	2.122289204E-1
1.887563750E-1	-2.311577937E-3	-3.678931044E-3	-2.054658955E-1	2.055118297E-1
1.987963750E-1	-5.512645282E-4	-5.541927041E-3	-2.160920405E-1	2.161637963E-1
2.088363750E-1	7.186456444E-3	-8.427628465E-3	-2.165387678E-1	2.168218348E-1
2.188463750E-1	-9.217980159E-3	-3.795482498E-3	-2.081567842E-1	2.083953542E-1
2.288863750E-1	-1.790746339E-3	1.816766448E-3	-2.172883809E-1	2.173033545E-1
2.389273751E-1	-3.420420159E-3	-2.140208837E-3	-2.136964363E-1	2.137345238E-1
2.489673750E-1	-1.090279140E-2	-6.800101670E-3	-2.100875348E-1	2.104801286E-1
2.589773750E-1	-2.176059578E-3	-7.613714319E-4	-2.087157780E-1	2.087285100E-1
2.690173750E-1	5.217269529E-3	-1.024258593E-3	-2.061921197E-1	2.062606585E-1
2.790573750E-1	-2.332938546E-3	1.021389803E-3	-1.961746699E-1	1.961911999E-1
2.890983750E-1	1.579067996E-3	5.919556674E-3	-2.036579365E-1	2.037500667E-1
2.991383750E-1	-4.176620459E-3	5.570770260E-3	-2.074159420E-1	2.075327700E-1
3.091483751E-1	-6.377631202E-3	-1.831210898E-3	-2.071089631E-1	2.072152266E-1
3.191883750E-1	-5.652430281E-4	3.341263477E-3	-2.119007564E-1	2.119278511E-1
3.292283750E-1	-4.437470231E-3	3.293636078E-3	-2.078691012E-1	2.079425459E-1
3.392683750E-1	-4.632977368E-3	-3.397743925E-3	-2.069639522E-1	2.070436829E-1
3.493093750E-1	-1.178513624E-2	2.230338184E-3	-2.044110578E-1	2.047626538E-1
3.593183750E-1	-1.650787750E-3	-3.420429295E-3	-2.214726484E-1	2.215052108E-1
3.693593750E-1	-7.444483107E-3	3.050967492E-4	-2.118843842E-1	2.120153430E-1
3.793993751E-1	-2.492695441E-3	5.455717156E-3	-2.121814227E-1	2.122661879E-1
3.894393750E-1	-4.120880049E-3	-2.869283538E-3	-1.969178510E-1	1.969818633E-1
3.994803750E-1	-4.383319532E-3	-8.951794803E-3	-1.865864056E-1	1.868524415E-1
4.094893750E-1	-1.331246551E-4	-2.767688166E-3	-1.921254730E-1	1.921454532E-1
4.195303750E-1	-1.254531995E-2	-1.245491652E-2	-2.032059467E-1	2.039734462E-1
4.295703750E-1	-1.065145249E-2	2.311276440E-3	-2.118902314E-1	2.121703693E-1
4.396103750E-1	-4.254424972E-3	-9.814514928E-3	-2.030580121E-1	2.033395710E-1
4.496503751E-1	-9.456948554E-3	-3.483131547E-3	-2.042572761E-1	2.045057479E-1
