"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.565347500E-1	-5.662546421E-3	6.567080989E-3	-2.171731907E-1	2.173462347E-1
1.665757501E-1	3.044895867E-3	3.397369338E-3	-2.171726060E-1	2.172205200E-1
1.765857501E-1	-2.335152523E-3	7.010181164E-3	-2.174725682E-1	2.175980549E-1
1.866257500E-1	-2.438559589E-3	3.917415217E-3	-2.222626072E-1	2.223105020E-1
1.966657500E-1	-1.811994886E-3	3.674600450E-3	-2.108856797E-1	2.109254748E-1
2.067057501E-1	1.700774306E-3	-4.666836401E-3	-2.005577427E-1	2.006192417E-1
2.167467501E-1	-1.065947128E-3	-2.772904979E-3	-1.929230332E-1	1.929459043E-1
2.267557500E-1	-1.647079850E-3	3.436509138E-3	-1.978621763E-1	1.978988713E-1
2.367967500E-1	-3.559333500E-3	-3.341583246E-3	-2.051963389E-1	2.052544093E-1
2.468367501E-1	-4.701865163E-3	-1.237124652E-2	-2.065043610E-1	2.069280223E-1
2.568767500E-1	2.399453194E-3	-1.322792756E-2	-2.121744061E-1	2.125998919E-1
2.669177500E-1	4.378006789E-3	-1.231261904E-2	-2.118779522E-1	2.122805553E-1
2.769577501E-1	2.525164904E-3	-8.948551426E-3	-2.034971380E-1	2.037094456E-1
2.869677501E-1	2.104531685E-3	-5.535979327E-3	-2.051589167E-1	2.052443842E-1
2.970077500E-1	2.256003121E-4	-5.250379387E-3	-2.099565572E-1	2.100223161E-1
3.070477501E-1	9.330223288E-4	-3.389905002E-3	-2.105535579E-1	2.105829117E-1
3.170877501E-1	3.635502620E-3	-2.243841598E-3	-2.065178096E-1	2.065619941E-1
3.271287500E-1	1.838933791E-2	-1.065186362E-2	-1.923055673E-1	1.934762547E-1
3.371687500E-1	4.869208307E-3	2.031834349E-3	-1.969517648E-1	1.970224231E-1
3.471787501E-1	-2.393624822E-3	1.769970451E-4	-1.954595554E-1	1.954742913E-1
3.572187501E-1	-6.236016664E-3	-1.572252335E-3	-1.992023581E-1	1.993061448E-1
3.672587500E-1	-3.856864558E-3	1.845034081E-3	-2.011483115E-1	2.011937444E-1
3.772997500E-1	8.996449487E-3	5.753751565E-4	-1.915688181E-1	1.917808104E-1
3.873397501E-1	2.301654230E-3	-8.941653538E-3	-1.908197898E-1	1.910430395E-1
3.973797500E-1	3.197819400E-3	1.183595220E-3	-1.908192050E-1	1.908496685E-1
4.073897500E-1	-9.687503011E-4	9.877747083E-3	-1.896257883E-1	1.898853548E-1
4.174297501E-1	-4.966872797E-3	3.613579273E-3	-1.890235251E-1	1.891232953E-1
4.274707501E-1	-1.222928166E-3	-5.191496098E-3	-1.981533676E-1	1.982251354E-1
4.375107500E-1	-6.766683176E-4	-5.941949682E-3	-1.956086594E-1	1.957000569E-1
4.475212917E-1	1.688180380E-3	4.265415911E-3	-2.008454257E-1	2.008978068E-1
4.575312918E-1	3.697110518E-4	-6.319853403E-3	-1.948572922E-1	1.949601024E-1
4.675712917E-1	4.850497217E-3	4.912154507E-3	-1.914167905E-1	1.915412339E-1
4.776112917E-1	3.348952794E-3	5.783654591E-3	-1.867746860E-1	1.868942200E-1
4.876522917E-1	-4.332902715E-3	9.983599959E-3	-1.861724228E-1	1.864902606E-1
4.976922917E-1	-5.276115130E-3	9.615344144E-3	-1.966488791E-1	1.969544969E-1
5.077322917E-1	-5.732026075E-3	2.107053297E-3	-1.917103207E-1	1.918075673E-1
5.177422917E-1	-2.327115884E-3	-3.035079511E-3	-1.932089621E-1	1.932468116E-1
5.277822918E-1	-3.300567084E-3	-7.344833761E-4	-1.929078305E-1	1.929374621E-1
5.378232917E-1	-1.051637724E-3	4.356870018E-3	-1.852748752E-1	1.853290793E-1
5.478632917E-1	-4.080424625E-3	3.675038991E-3	-1.851234323E-1	1.852048621E-1
5.579032917E-1	4.003025820E-4	-1.841406981E-3	-1.955993038E-1	1.956083809E-1
5.679432917E-1	4.059482000E-3	-9.657316189E-3	-1.939486349E-1	1.942313469E-1
5.779532917E-1	3.978649954E-3	-5.901183626E-3	-1.842165291E-1	1.843539618E-1
5.879942917E-1	8.598079369E-4	-3.037820393E-3	-1.896041536E-1	1.896304372E-1
5.980342918E-1	3.693988767E-3	-3.100330783E-3	-1.819706136E-1	1.820345072E-1
6.080742917E-1	-9.278473431E-4	-8.411576031E-3	-1.849638033E-1	1.851572954E-1
6.181142917E-1	-1.512721655E-3	-6.837405078E-4	-1.729869515E-1	1.729949167E-1
