"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.627899166E-1	4.352265336E-3	-1.411019475E-2	-2.091285914E-1	2.096492489E-1
1.727999167E-1	2.973656338E-3	-1.155699433E-2	-2.065832984E-1	2.069276829E-1
1.828399167E-1	-2.760399703E-3	-4.808316180E-3	-1.944579273E-1	1.945369508E-1
1.928799166E-1	3.477352853E-3	-3.966353671E-3	-2.115218568E-1	2.115876174E-1
2.029209167E-1	-4.276678653E-3	-4.840411912E-3	-2.149652821E-1	2.150622981E-1
2.129609167E-1	-1.108587548E-2	3.946742658E-3	-2.152658290E-1	2.155872226E-1
2.230009167E-1	-1.005328461E-2	5.277130399E-3	-2.121217811E-1	2.124254379E-1
2.330109166E-1	-4.667658666E-3	1.006744812E-2	-2.059845436E-1	2.062832343E-1
2.430509167E-1	-6.663982600E-3	5.564178438E-3	-2.197559059E-1	2.199273219E-1
2.530909167E-1	-2.131952385E-2	9.437634470E-3	-2.054349053E-1	2.067536973E-1
2.631319166E-1	-1.068759559E-2	7.382598552E-3	-1.979422832E-1	1.983680290E-1
2.731719167E-1	-4.904167119E-3	2.961847703E-3	-1.934393424E-1	1.935241654E-1
2.831819167E-1	1.114385657E-3	-3.804056891E-3	-2.001770890E-1	2.002163321E-1
2.932219167E-1	8.977052034E-4	-4.310722696E-3	-2.048110074E-1	2.048583339E-1
3.032619166E-1	-5.654371739E-4	-3.873209353E-3	-2.066008401E-1	2.066379166E-1
3.133029167E-1	5.652030569E-3	-6.481944616E-3	-2.010500783E-1	2.012339311E-1
3.233429167E-1	6.693159293E-3	-7.670363788E-3	-1.983515882E-1	1.986126517E-1
3.333529166E-1	-2.764156996E-3	-1.118823602E-3	-2.091338539E-1	2.091551127E-1
3.433929167E-1	5.510948219E-3	3.712881440E-3	-1.986562282E-1	1.987673339E-1
3.534329167E-1	1.948922658E-3	6.048300485E-3	-1.970102370E-1	1.971126929E-1
3.634729167E-1	-2.906557254E-3	1.248698941E-2	-1.983609438E-1	1.987748400E-1
3.735139166E-1	-5.036944596E-3	5.521790693E-3	-2.031539065E-1	2.032913444E-1
3.835539167E-1	-8.766456340E-3	6.085814028E-3	-1.914793557E-1	1.917765146E-1
3.935639167E-1	-3.318283462E-3	7.598561808E-3	-2.042023122E-1	2.043705788E-1
4.036039166E-1	4.027162429E-3	-7.411208795E-3	-2.001613015E-1	2.003389395E-1
4.136439167E-1	2.378693009E-3	-7.783822613E-3	-1.913302517E-1	1.915032932E-1
4.236849167E-1	8.494907990E-4	-1.038459561E-2	-1.854877138E-1	1.857801212E-1
4.336898334E-1	4.058166377E-3	-1.381330694E-2	-2.061418337E-1	2.066439734E-1
4.436998334E-1	1.130883484E-3	-1.250896672E-2	-2.049390614E-1	2.053235789E-1
4.537398333E-1	2.958266283E-3	-4.255932458E-3	-1.833833009E-1	1.834565326E-1
4.637798333E-1	6.773971925E-3	-3.789059697E-3	-1.908665675E-1	1.910243185E-1
