"Time (s)"	"Sound pressure level (dB)"
0.000000000E0	NaN
4.604197083E-1	NaN
5.837948750E-1	-5.070345315E1
6.947436250E-1	-4.752794593E1
8.000189166E-1	-4.671204302E1
9.048070000E-1	-4.775731759E1
1.015488375E0	-4.538321038E1
1.124777417E0	-4.598606454E1
1.228844250E0	-4.761476863E1
1.344691125E0	-4.651246648E1
1.453994500E0	-4.782055127E1
1.556561250E0	-4.912708227E1
1.671195333E0	-4.810746770E1
1.773533250E0	-4.698714087E1
1.894800208E0	-4.553933511E1
2.000926917E0	-4.393500998E1
2.113073708E0	-4.309062726E1
2.222690417E0	-4.207458160E1
2.334025458E0	-4.206836503E1
2.438433000E0	-4.140288378E1
2.545073583E0	-4.067193991E1
2.657901542E0	-4.136296768E1
2.767050417E0	-4.241184609E1
2.876845000E0	-4.157484665E1
2.987567250E0	-4.268230418E1
3.094869625E0	-4.290491906E1
3.207364250E0	-4.300492248E1
3.317216542E0	-4.387016502E1
3.429076917E0	-4.384635489E1
3.537403042E0	-4.335632715E1
3.646587583E0	-4.350630227E1
3.754069625E0	-4.384376240E1
3.863180542E0	-4.218589311E1
3.971188833E0	-4.245211629E1
4.074373458E0	-4.344879454E1
4.185049083E0	-4.218652755E1
4.306503708E0	-4.225114795E1
4.417152833E0	-4.258537505E1
4.526068042E0	-4.335425111E1
4.641325708E0	-4.362451760E1
4.750420417E0	-4.307122062E1
4.858168042E0	-4.263934294E1
4.967184000E0	-4.380711703E1
5.076136458E0	-4.292441192E1
5.187519792E0	-4.344955729E1
5.297074875E0	-4.310858937E1
5.406942542E0	-4.362368941E1
5.522862083E0	-4.409088406E1
5.625613042E0	-4.422293385E1
5.738490458E0	-4.559847128E1
5.854312667E0	-4.418984054E1
5.966699042E0	-4.372054168E1
6.070858792E0	-4.166796539E1
6.182881708E0	-4.297976825E1
6.287506583E0	-4.306981563E1
6.397786375E0	-4.460748115E1
6.505545125E0	-4.537807949E1
6.617195250E0	-4.196768346E1
6.724705792E0	-3.994328656E1
6.835810042E0	-4.004095799E1
6.945244292E0	-4.117684493E1
7.054059667E0	-3.956291563E1
7.165313917E0	-4.049083881E1
7.270806917E0	-4.180757020E1
7.381586917E0	-4.122692280E1
7.487473958E0	-4.227279595E1
7.598952958E0	-4.226786803E1
7.704195542E0	-4.187516935E1
7.812820333E0	-4.215926593E1
7.920984750E0	-4.234482286E1
8.028924583E0	-4.172843414E1
8.137675375E0	-4.042647044E1
8.246798000E0	-4.103109180E1
8.354397042E0	-4.183933543E1
8.463582958E0	-4.274919867E1
8.571702000E0	-4.275221645E1
8.683120750E0	-4.380583186E1
8.794851833E0	-4.321174541E1
8.916351917E0	-4.100004269E1
9.027250833E0	-4.067199593E1
9.129827792E0	-4.204253760E1
9.239731125E0	-4.299710778E1
9.352628917E0	-4.188867395E1
9.475578458E0	-4.887927964E1
9.587335208E0	-4.564074658E1
9.697381792E0	-4.357776616E1
9.805228833E0	-4.648040492E1
9.913616208E0	-4.296257065E1
1.002299575E1	-4.106357559E1
1.012665017E1	-4.276460364E1
1.024727458E1	-4.165891214E1
1.035554283E1	-4.231446194E1
1.046492058E1	-4.312506153E1
1.057252800E1	-4.305301123E1
1.067585888E1	-4.305701189E1
1.079596654E1	-4.318463139E1
1.090767858E1	-4.345086297E1
1.101752183E1	-4.236759400E1
1.112604333E1	-4.371515401E1
1.123459308E1	-4.601153332E1
1.134756075E1	-4.382785832E1
1.145516925E1	-4.348217152E1
1.156389383E1	-4.564401439E1
1.167511008E1	-4.364279647E1
1.178451458E1	-4.583654791E1
1.189430133E1	-4.423881399E1
1.200102271E1	-4.627388345E1
1.211122704E1	-4.519438687E1
1.222258162E1	-4.447307544E1
1.233441087E1	-4.440847331E1
1.244475371E1	-4.476108108E1
1.255152467E1	NaN
1.266328650E1	-4.350312177E1
1.277423658E1	-4.417561017E1
1.288495587E1	-4.377969724E1
1.299620354E1	-4.520126221E1
1.310629525E1	-4.464744420E1
1.321771017E1	-4.495600461E1
1.332274233E1	-4.474227759E1
1.343182179E1	-4.412608798E1
1.354017571E1	-4.382481725E1
1.365115371E1	-4.172300543E1
1.375468721E1	-4.135614364E1
1.386419367E1	-4.512794444E1
1.397241204E1	-4.439867701E1
1.407500842E1	-4.194951185E1
1.418549717E1	-4.339154680E1
1.430524404E1	-4.128598782E1
1.441417417E1	-4.204538967E1
1.452859783E1	-4.242125383E1
1.463545575E1	-4.341008919E1
1.474548746E1	-4.505536227E1
1.485271588E1	-4.444817022E1
1.496423871E1	-4.482769856E1
1.507475038E1	-4.329099924E1
1.518464808E1	-4.515666274E1
1.529484825E1	-4.594487672E1
1.540312512E1	-4.445495105E1
1.551411067E1	-4.219740285E1
1.562335158E1	-4.497043279E1
1.573499008E1	-4.362575933E1
1.584563788E1	-4.585410891E1
1.595272054E1	-4.625608185E1
1.606429912E1	-4.771294493E1
1.617875463E1	-4.654906874E1
1.628514921E1	-4.549242817E1
1.639825096E1	-4.650611083E1
1.650764217E1	-4.725360064E1
1.661800429E1	-4.533298738E1
1.672489283E1	-4.876050879E1
1.682815717E1	-4.962109926E1
1.693961325E1	-4.599877139E1
1.705710800E1	-4.734018796E1
1.716802404E1	-4.619030578E1
1.727775858E1	-4.580838767E1
1.738966004E1	-4.684425656E1
1.749314796E1	-4.632051606E1
1.761427617E1	-4.715526226E1
1.772602375E1	-4.656795721E1
1.783700846E1	-4.695585203E1
1.794785821E1	-4.732472487E1
1.805661229E1	-4.777246163E1
1.816464825E1	-4.620718998E1
1.826728762E1	-4.750862530E1
1.837890583E1	-4.723143662E1
1.849917917E1	-4.399816026E1
1.860538583E1	-4.599865181E1
1.871574729E1	-4.649867596E1
1.882526146E1	-4.632826629E1
1.893493483E1	-4.679038221E1
1.904476983E1	-4.611745913E1
1.915461067E1	-4.709465210E1
1.926430542E1	-4.656975813E1
1.937593383E1	-4.696570986E1
1.948498492E1	-4.694600523E1
1.959477296E1	-4.834402140E1
1.970149204E1	-4.714461518E1
1.981227588E1	-4.732386152E1
1.992389350E1	-4.349601979E1
2.003488454E1	-4.347126194E1
2.014636004E1	-4.311465225E1
2.025221054E1	NaN
2.035650092E1	-4.262991515E1
2.046536921E1	-4.295021519E1
2.056863000E1	-4.349678861E1
2.067841287E1	-4.514566484E1
2.079184625E1	-4.598698880E1
2.090157796E1	-4.211902960E1
2.100668354E1	-4.312252834E1
2.111837971E1	-4.290151028E1
2.122405946E1	-4.520146180E1
2.133498371E1	-4.358801968E1
2.144675658E1	-4.679645918E1
2.156708987E1	-4.344001425E1
2.167832183E1	-4.142204808E1
2.178704513E1	-4.236859173E1
2.188986979E1	-4.649023446E1
2.200777975E1	-4.470463572E1
2.211851054E1	-4.223871336E1
2.222832554E1	-4.236544325E1
2.233543308E1	-4.451428990E1
2.243940521E1	-4.385174182E1
2.255696258E1	-4.202430331E1
2.266723208E1	-4.332366926E1
2.277962800E1	-4.265830401E1
2.288510792E1	-4.198535017E1
2.300279783E1	-4.180156817E1
2.312369138E1	-4.356046638E1
2.323535896E1	-4.327771702E1
2.334489229E1	-4.288988888E1
2.345280108E1	-4.450805438E1
2.356448342E1	-4.409671997E1
2.366857633E1	-4.411007026E1
2.377177096E1	-4.274211637E1
2.388128729E1	-4.353156221E1
2.398675454E1	-4.412505364E1
2.408954333E1	-4.515472155E1
2.419848771E1	-4.224502017E1
2.432093992E1	-4.348933271E1
2.443296683E1	-4.434992791E1
2.453767692E1	-4.201180874E1
2.464642008E1	-4.599336183E1
2.475513046E1	-4.421966514E1
2.486796758E1	-4.517708446E1
2.498143879E1	-4.439692426E1
2.508538325E1	-4.415566402E1
2.519758117E1	-4.419416821E1
2.530197521E1	-4.450680474E1
2.541174829E1	-4.375138100E1
2.551855300E1	-4.464772921E1
2.562478367E1	-4.368163520E1
2.572758850E1	-4.356461635E1
2.584802279E1	-4.337879705E1
2.595449517E1	-4.532512732E1
2.606478608E1	-4.875265764E1
2.617268946E1	-5.019397258E1
2.628151421E1	-4.888183503E1
2.639012279E1	-4.904818744E1
2.650177208E1	-4.808536183E1
2.661486917E1	-4.849091315E1
2.672407083E1	-4.766852867E1
2.682802588E1	-4.689550084E1
2.694620129E1	-4.425597093E1
2.705546179E1	-4.517505111E1
2.716479342E1	-4.631544511E1
2.727664233E1	-4.370506952E1
2.738753813E1	-4.308235146E1
2.749476900E1	-4.369986826E1
2.759785492E1	-4.365201834E1
2.771927071E1	-4.347728866E1
2.782999083E1	-4.486716287E1
2.794040975E1	-4.300106509E1
2.805118783E1	-4.299549506E1
2.816274362E1	-4.308641479E1
2.827667896E1	-4.474304084E1
2.838565046E1	-4.283987002E1
2.849628442E1	-4.174927382E1
2.860224637E1	-4.158221928E1
2.871253412E1	-4.472911434E1
2.881889150E1	-4.565523391E1
2.892784338E1	-4.629620292E1
2.903547212E1	-4.614845433E1
