"Time (s)"	"Sound pressure level (dB)"
0.000000000E0	-6.390973680E1
3.868322916E-1	NaN
5.223638749E-1	-7.200068496E1
6.285333750E-1	-6.871705991E1
7.389266250E-1	-6.647418962E1
8.438563750E-1	-6.813426933E1
9.540329999E-1	-6.809795497E1
1.067527250E0	-6.751573995E1
1.176818292E0	-7.012466100E1
1.288390667E0	-7.157420115E1
1.393962792E0	-6.913742123E1
1.505746292E0	-6.759816046E1
1.607518875E0	-6.485253255E1
1.718609833E0	-6.591290535E1
1.822464792E0	-6.703265730E1
1.934536250E0	-6.832284890E1
2.043808250E0	-6.905322821E1
2.155843208E0	-6.856736159E1
2.268289625E0	-6.921453163E1
2.374350125E0	-6.975803744E1
2.485349542E0	-6.811773294E1
2.591426958E0	-6.543675331E1
2.701938208E0	-7.037419510E1
2.808108875E0	-7.040175840E1
2.918726542E0	-7.048604971E1
3.029355958E0	-7.150724374E1
3.139268625E0	-7.068895004E1
3.247720000E0	-7.202134247E1
3.355889708E0	-7.000312210E1
3.467096875E0	-6.926968013E1
3.589219000E0	-7.014830761E1
3.697729083E0	-6.912381237E1
3.805905625E0	-7.071988045E1
3.917289917E0	-6.474208678E1
4.028763250E0	-6.193821582E1
4.135597125E0	-7.008382541E1
4.246731125E0	-6.867542733E1
4.357132542E0	-7.119305372E1
4.466199708E0	-7.133066269E1
4.582954458E0	-6.968937822E1
4.691441583E0	-7.249022426E1
4.798043708E0	-7.192630204E1
4.905984000E0	-6.939834111E1
5.010148667E0	-7.073162042E1
5.130040167E0	-7.259178890E1
5.239966375E0	-7.255632590E1
5.348600042E0	-6.868131047E1
5.456328750E0	-6.867999833E1
5.567268167E0	-6.992290304E1
5.680372000E0	-7.063627088E1
5.789607333E0	-6.912076664E1
5.897714958E0	-7.043021876E1
6.006145083E0	-6.911171994E1
6.123568417E0	-6.737176003E1
6.227720667E0	-6.982693116E1
6.339583875E0	-7.180341313E1
6.451601292E0	-7.136776271E1
6.556832375E0	-6.178342463E1
6.667713583E0	-7.016533551E1
6.772877375E0	-7.115770876E1
6.884936583E0	-7.013981927E1
6.989589708E0	-7.031986575E1
7.100670042E0	-7.017424731E1
7.206115458E0	-6.892052560E1
7.316788625E0	-7.015484916E1
7.428846958E0	-6.892314113E1
7.539651208E0	-6.994041477E1
7.647795458E0	-7.095689980E1
7.756281250E0	-7.042449585E1
7.868824583E0	-7.000418519E1
7.972802833E0	-6.978516126E1
8.082086458E0	-7.084682321E1
8.192011208E0	-7.014521632E1
8.297840792E0	-6.980589253E1
8.400451583E0	-6.868344385E1
8.520527500E0	-6.724230077E1
8.628816583E0	-5.718263423E1
8.739594958E0	-4.308084130E1
8.850176583E0	-5.345972701E1
8.970323792E0	-6.508872042E1
9.080366167E0	-7.068363414E1
9.189728208E0	-7.199018893E1
9.301714917E0	-7.217779505E1
9.409387875E0	-6.972747636E1
9.520873958E0	-7.254419392E1
9.629075750E0	-7.184172995E1
9.739677292E0	-7.087807981E1
9.847738583E0	-7.182737092E1
9.958789875E0	-7.183436166E1
1.007035771E1	-7.104450041E1
1.017719371E1	-7.266098842E1
1.028595883E1	-7.244939452E1
1.039193929E1	-7.098320167E1
1.050096167E1	-7.253596671E1
1.061033921E1	-7.167921502E1
1.072343762E1	-7.133964191E1
1.083416037E1	-7.170120227E1
1.093969133E1	-7.183376338E1
1.104758700E1	-7.237299851E1
1.115801533E1	-7.391246183E1
1.127014754E1	-7.116316307E1
1.137802142E1	-7.125921642E1
1.148559863E1	-6.974393506E1
1.159709100E1	-7.209713805E1
1.170663725E1	-7.014830706E1
1.181541750E1	-6.843581835E1
1.192382233E1	-7.094960630E1
1.203148600E1	-7.123996425E1
1.213407637E1	-7.090856861E1
1.225674113E1	-7.010355405E1
1.236779308E1	-6.937225375E1
1.247322254E1	-7.031136431E1
1.257754750E1	-7.015962771E1
1.268871742E1	-7.023332292E1
1.279689037E1	-7.249827809E1
1.290028563E1	-7.011102791E1
1.302322000E1	-7.031878268E1
1.313603733E1	-7.156976907E1
1.324000217E1	-7.082567552E1
1.335157996E1	-7.123199111E1
1.347565554E1	-7.275573968E1
1.358772700E1	-6.669816517E1
1.369361363E1	-7.000459941E1
1.380270142E1	-7.067046834E1
1.391064967E1	-7.023296583E1
1.402078408E1	-6.920404800E1
1.412759417E1	-6.924197987E1
1.423600967E1	-6.802932187E1
1.434067246E1	-7.021018581E1
1.444848742E1	-7.038325937E1
1.455234292E1	-6.985014574E1
1.467352000E1	-6.882177551E1
1.478090183E1	-6.689934257E1
1.489024433E1	-6.914267961E1
1.499779850E1	-6.928566932E1
1.510696621E1	-7.151467452E1
1.521741646E1	-7.118845750E1
1.532651854E1	-7.027376726E1
1.543598950E1	-6.981895543E1
1.554856704E1	-7.100434757E1
1.565701425E1	-6.985928728E1
1.576779042E1	-6.967294366E1
1.587363717E1	-7.033168444E1
1.598235887E1	-7.182793218E1
1.609322042E1	-6.930606111E1
1.620299100E1	-7.012480411E1
1.631166033E1	-7.098259525E1
1.642208733E1	-6.984667888E1
1.653307429E1	-6.869985372E1
1.664018675E1	-7.024652228E1
1.675066579E1	-6.926783660E1
1.685504058E1	-6.851007831E1
1.697368450E1	-6.915053629E1
1.708627896E1	-5.689950078E1
1.719541038E1	-5.294001582E1
1.730776250E1	-6.434211961E1
1.741565150E1	-6.028901565E1
1.752355663E1	-6.464040864E1
1.762933629E1	-6.761261331E1
1.774034512E1	-6.817613867E1
1.784778621E1	-6.906893729E1
1.795709842E1	-6.842347075E1
1.806618617E1	-6.845722290E1
1.819030462E1	-6.700512603E1
1.829811883E1	-6.608177375E1
1.840793183E1	-6.677992834E1
1.852042271E1	-6.475633520E1
1.863020492E1	-6.299472122E1
1.874033108E1	-6.241878316E1
1.885232592E1	-6.382743800E1
1.895709992E1	-6.515004162E1
1.906889429E1	-6.573101902E1
1.918252096E1	-6.609056051E1
1.930261475E1	-6.832076683E1
1.940792071E1	-6.632656035E1
1.952038667E1	-6.672215454E1
1.963131983E1	-6.520527591E1
1.974035708E1	-6.728185123E1
1.984788588E1	-6.652741835E1
1.995712787E1	-6.705108146E1
2.006431188E1	-6.618374815E1
2.017377729E1	-6.694959396E1
2.028628717E1	-6.775689904E1
2.039049000E1	-6.806313941E1
2.050339988E1	-6.840541086E1
2.060722508E1	-6.824598860E1
2.071305475E1	-6.832562982E1
2.082379650E1	-6.778881673E1
2.093597938E1	-6.772156225E1
2.104037329E1	-6.599560260E1
2.115847783E1	-6.523185032E1
2.127976379E1	-6.731732935E1
2.139035958E1	-6.767867905E1
2.150076100E1	-6.824649608E1
2.161176279E1	-6.779010091E1
2.172246717E1	-6.856396999E1
2.182871450E1	-6.857861983E1
2.193804017E1	-6.765039120E1
2.204656071E1	-6.718733821E1
2.215964275E1	-6.880813725E1
2.227009521E1	-6.988814793E1
2.237830108E1	-6.842471152E1
2.248776725E1	-6.974755579E1
2.259391783E1	-6.811111311E1
2.270443704E1	-7.033895935E1
2.281608596E1	-7.007683133E1
2.292488133E1	-6.921222497E1
2.302902829E1	-7.081659048E1
2.314268404E1	-7.087366248E1
2.325344717E1	-7.040501752E1
2.336506617E1	-6.875715127E1
2.347399725E1	-7.013631929E1
2.358435963E1	-7.022986572E1
2.369062412E1	-6.938138777E1
2.380254379E1	-6.943486825E1
2.390734850E1	-6.740363318E1
2.401226888E1	-6.956909495E1
2.412399404E1	-6.982935795E1
2.424092354E1	-6.940089417E1
2.434771621E1	-6.921978750E1
2.445732075E1	-6.801065082E1
2.456679608E1	-6.919212823E1
2.467813887E1	-7.018333534E1
2.478997904E1	-6.939431961E1
2.489557975E1	-6.884684250E1
2.500398700E1	-6.909839017E1
2.511494075E1	-6.855271562E1
2.522651729E1	-6.866093731E1
2.533371975E1	-6.949959583E1
2.544076587E1	-6.885972552E1
2.555369537E1	-7.153297834E1
2.566287917E1	-6.956251332E1
2.577625588E1	-6.905577866E1
2.588694279E1	-7.065092898E1
2.599444437E1	-7.071693561E1
2.610178029E1	-6.989129240E1
2.621236758E1	-7.061133692E1
2.631584142E1	-7.052103230E1
2.643728817E1	-7.175023472E1
2.654071146E1	-6.945764983E1
2.664768829E1	-7.099318709E1
2.675022904E1	-7.152568538E1
2.686877262E1	-7.189049586E1
2.697816592E1	-7.159907866E1
2.708693925E1	-7.163701792E1
2.719771758E1	-7.088793766E1
2.730763308E1	-7.025643957E1
2.741741904E1	-7.097297289E1
2.752044533E1	-7.011138958E1
2.764305500E1	-7.108195635E1
2.775372696E1	-7.089864140E1
2.786250204E1	-6.994297588E1
2.797423546E1	-7.102497430E1
2.808351208E1	-7.092179657E1
2.819107208E1	-6.959358018E1
2.830325754E1	-7.004611719E1
2.841294975E1	-7.099624486E1
2.852447212E1	-6.963645115E1
2.863644283E1	-7.091800352E1
2.874841758E1	-7.176969982E1
2.885771708E1	-7.107569352E1
2.896775837E1	-7.062478408E1
2.907858429E1	-6.843183404E1
2.918721308E1	-7.137134712E1
2.929860371E1	-6.970682029E1
