"Time (s)"	"Sound pressure level (dB)"
0.000000000E0	-6.829307450E1
2.650812917E-1	NaN
3.749397501E-1	-6.891488282E1
4.810158750E-1	-6.172489938E1
5.939679584E-1	-6.476153468E1
6.977643750E-1	-6.694802999E1
8.066423751E-1	-6.614746306E1
9.147342501E-1	-6.595929048E1
1.026641583E0	-6.418575180E1
1.131181875E0	-6.425245252E1
1.236766042E0	-6.412711288E1
1.347948542E0	-6.761209450E1
1.457963708E0	-6.518294607E1
1.578803708E0	-6.375461949E1
1.681501417E0	-6.203206603E1
1.788166708E0	-6.302460600E1
1.897969500E0	-6.600468127E1
2.010153958E0	-6.603117909E1
2.113216167E0	-6.628539933E1
2.227293542E0	-6.681396587E1
2.348021958E0	-6.486084014E1
2.456583500E0	-6.362268463E1
2.564832708E0	-6.516554349E1
2.668519375E0	-6.369730252E1
2.776581750E0	-6.638859419E1
2.888810333E0	-6.289274614E1
2.998141667E0	-6.688558409E1
3.110274917E0	-6.390429323E1
3.216235833E0	-6.803854981E1
3.326579583E0	-6.671538698E1
3.436731833E0	-6.661535801E1
3.538968250E0	-6.387477797E1
3.659393667E0	-6.360320884E1
3.767032375E0	-6.537028097E1
3.877552125E0	-6.652817123E1
3.981231167E0	-6.722951185E1
4.084700500E0	-6.645973591E1
4.192860167E0	-6.793228254E1
4.308612500E0	-6.725077703E1
4.421445542E0	-6.326213171E1
4.531562458E0	-6.495813154E1
4.641240917E0	-6.388021012E1
4.750625792E0	-6.763811327E1
4.853669292E0	-6.538515194E1
4.974530792E0	-6.543803274E1
5.087918917E0	-6.415938594E1
5.198096042E0	-6.269137967E1
5.306584833E0	-6.759257913E1
5.416238125E0	-6.878176452E1
5.524582458E0	-6.537928170E1
5.635266667E0	-6.838545796E1
5.740303292E0	-6.448621495E1
5.861091167E0	-6.549448168E1
5.968897208E0	-6.601445688E1
6.077751583E0	-6.682950498E1
6.188750958E0	-6.765885079E1
6.298414208E0	-6.694814764E1
6.407031458E0	-6.753028653E1
6.519043083E0	-6.624282116E1
6.629839500E0	-6.389708490E1
6.736711375E0	-6.690957594E1
6.846647917E0	-6.722264132E1
6.956476125E0	-6.399712557E1
7.066860875E0	-6.427886213E1
7.176309667E0	-6.637710481E1
7.288059167E0	-6.925756941E1
7.398446958E0	-6.468457895E1
7.506497083E0	-6.683057737E1
7.615058125E0	-6.502643734E1
7.727289708E0	-6.470576878E1
7.837641792E0	-6.582393624E1
7.956009333E0	-6.594386642E1
8.064934417E0	-6.531398407E1
8.178264125E0	-6.650315943E1
8.286344208E0	-6.349016589E1
8.398932917E0	-6.623631063E1
8.506602958E0	-6.503253069E1
8.617797417E0	-6.371958965E1
8.727960667E0	-6.512199122E1
8.831767333E0	-6.361723829E1
8.940071292E0	-6.428145292E1
9.044005708E0	-6.645931776E1
9.162187542E0	-6.474972167E1
9.265278375E0	-6.577103960E1
9.393092458E0	-6.318525549E1
9.498580167E0	-6.686835492E1
9.609220292E0	-6.801338921E1
9.715196125E0	-6.436841247E1
9.826503708E0	-6.565454444E1
9.935756208E0	-6.413536023E1
1.004465987E1	-6.014797983E1
1.014859596E1	-6.132671665E1
1.025618550E1	-5.769339259E1
1.037691096E1	-5.157925203E1
1.048690475E1	-4.996060153E1
1.059569267E1	-5.758553168E1
1.070370425E1	-6.002899409E1
1.081533100E1	-5.009471259E1
1.092563388E1	-4.062520131E1
1.103199583E1	-3.808314555E1
1.114402667E1	-6.405619146E1
1.124839900E1	NaN
1.135653579E1	-6.572086177E1
1.146056388E1	-6.572925076E1
1.158062442E1	-6.502327545E1
1.169286563E1	-6.542156159E1
1.179863237E1	-6.249000431E1
1.190935396E1	-6.299820497E1
1.202273625E1	-6.591239105E1
1.213417429E1	-6.818472400E1
1.224424008E1	-6.884798879E1
1.234856392E1	-6.806053591E1
1.246018642E1	-6.958392284E1
1.256547979E1	-7.013809871E1
1.267800896E1	-7.004351005E1
1.278686546E1	-7.035828159E1
1.289814900E1	-6.774906802E1
1.301010112E1	-6.882614096E1
1.312344700E1	-6.956555226E1
1.323194546E1	-6.859838563E1
1.334342112E1	-6.838224077E1
1.344916083E1	-6.917094667E1
1.356079704E1	-7.100694999E1
1.366561288E1	-7.194825602E1
1.377845038E1	-7.072700088E1
1.388199075E1	-6.933875250E1
1.399510842E1	-7.029729410E1
1.410373679E1	-7.054315809E1
1.420780913E1	-7.162916487E1
1.433214417E1	-6.812760089E1
1.443658325E1	-6.858044999E1
1.454506679E1	-6.910149093E1
1.465347850E1	-6.858996876E1
1.476743258E1	-6.778524559E1
1.487615654E1	-6.533464297E1
1.498686937E1	-6.443971758E1
1.509876175E1	-6.604139444E1
1.520657588E1	-6.716078291E1
1.531074654E1	-6.888631151E1
1.542197425E1	-6.973335950E1
1.554281283E1	-6.874051348E1
1.565234592E1	-6.981819500E1
1.576172842E1	-6.771764368E1
1.586657675E1	-6.710076003E1
1.597649475E1	-6.624044490E1
1.608344567E1	-6.416844028E1
1.618887921E1	-6.854258019E1
1.629278508E1	-6.756068515E1
1.641322358E1	-6.714183490E1
1.651656904E1	-6.864969631E1
1.662699475E1	-7.040927078E1
1.673954421E1	-6.842437483E1
1.684913721E1	-6.687337577E1
1.695657608E1	-6.409132099E1
1.706741854E1	-6.465220680E1
1.717806579E1	-6.540737436E1
1.728582533E1	-6.454152896E1
1.739731208E1	-6.927314441E1
1.750744854E1	-6.641031373E1
1.761600904E1	-6.667194583E1
1.772736079E1	-6.575521226E1
1.784115363E1	-6.600500789E1
1.795880492E1	-6.319346354E1
1.806552867E1	-6.557021284E1
1.816977508E1	-6.186127377E1
1.827850746E1	-6.649532371E1
1.838992008E1	-6.525756082E1
1.850777646E1	-6.505472466E1
1.861101417E1	-6.546550033E1
1.872841650E1	-6.361804874E1
1.883370158E1	-6.346580440E1
1.894515404E1	-6.307192997E1
1.905185833E1	-5.977457340E1
1.916186912E1	-6.326860870E1
1.926573250E1	-6.741709539E1
1.936899333E1	-5.459372679E1
1.948965846E1	-6.599251021E1
1.959916467E1	-6.293733327E1
1.971107308E1	-6.809390346E1
1.981936413E1	-6.472599981E1
1.992893904E1	-6.136965626E1
2.004012567E1	-6.253256473E1
2.014902717E1	-6.584372144E1
2.025991046E1	-6.661801342E1
2.036913483E1	-6.802182762E1
2.047861208E1	-6.631330039E1
2.058389438E1	-6.723941094E1
2.069318450E1	-6.573705190E1
2.080574217E1	-6.345118208E1
2.091597796E1	-6.437093532E1
2.102659092E1	-6.435447124E1
2.113389071E1	-6.475209386E1
2.124539042E1	-6.569419588E1
2.135322208E1	-6.895133962E1
2.146689162E1	-6.736746407E1
2.157586463E1	-6.886886124E1
2.168702625E1	-6.734882710E1
2.180042487E1	-6.553981884E1
2.191186500E1	-6.396062681E1
2.201794500E1	-6.509076731E1
2.212883687E1	-6.656576077E1
2.223807733E1	-6.901783278E1
2.234919571E1	-6.729776002E1
2.246050692E1	-6.506041783E1
2.256910467E1	-6.277560868E1
2.267663738E1	-6.284764852E1
2.278254175E1	-6.432716822E1
2.289323400E1	-6.604364374E1
2.299935075E1	-6.733074937E1
2.311118446E1	-6.581936079E1
2.322077213E1	-6.269891974E1
2.333147533E1	-6.258555386E1
2.344553821E1	-6.263172473E1
2.355667121E1	-6.571453663E1
2.366679858E1	-6.687427071E1
2.377649296E1	-6.762225171E1
2.388274408E1	-6.819983469E1
2.398643121E1	-6.776542923E1
2.409761542E1	-6.565508525E1
2.420663333E1	-6.655733794E1
2.431616642E1	-6.688049053E1
2.442658308E1	-6.469404430E1
2.454924442E1	-6.612939815E1
2.466130204E1	-6.819484314E1
2.476617208E1	-6.972306612E1
2.487608304E1	-6.729055424E1
2.498269417E1	-6.293201900E1
2.509431150E1	-6.233569695E1
2.520071329E1	-6.414121015E1
2.531463038E1	-6.449524133E1
2.542751112E1	-6.444834118E1
2.553286479E1	-6.540399948E1
2.564476158E1	-6.587617857E1
2.574953700E1	-6.484149701E1
2.585645821E1	-6.531885459E1
2.596805917E1	-6.390124684E1
2.607915279E1	-6.443548601E1
2.618809212E1	-6.631989330E1
2.629957763E1	-6.499979084E1
2.641216229E1	-6.330944337E1
2.651846458E1	-6.819748104E1
2.662212354E1	-6.403963880E1
2.673653071E1	-6.500298638E1
2.684050583E1	-6.429636371E1
2.695099138E1	-6.521583207E1
2.707375492E1	-6.763595786E1
2.718307675E1	-6.551227805E1
2.729511463E1	-6.724612474E1
2.740009917E1	-6.321686320E1
2.750649638E1	-6.328147076E1
2.761824967E1	-5.861473154E1
2.772650287E1	-6.388639628E1
2.783664271E1	-6.414426662E1
2.794782458E1	-6.309431086E1
2.805215083E1	-6.500129831E1
2.815519437E1	-6.386389671E1
2.826238637E1	-6.433067683E1
2.836633079E1	-5.989740707E1
2.847337454E1	-6.649564061E1
2.858292521E1	-6.110876385E1
2.868701221E1	-6.082172346E1
2.879650058E1	-6.472390674E1
2.890580533E1	-6.444618450E1
2.901654642E1	-6.369434857E1
2.912564487E1	-6.447948475E1
2.923310238E1	-5.910848096E1
2.934586979E1	-6.242424985E1
2.945498571E1	-6.372709715E1
2.956652192E1	-6.061248370E1
2.967641150E1	-6.269547527E1
2.978302208E1	-6.644837863E1
2.988658150E1	-6.304111925E1
2.999197387E1	-6.273008222E1
3.009487329E1	-6.581532637E1
3.021265129E1	-6.299648989E1
3.031861146E1	-5.732794714E1
3.042141750E1	-5.536905107E1
3.053283454E1	-5.646467733E1
3.065240675E1	-5.892977147E1
3.076270138E1	-5.703049788E1
3.087097967E1	-5.575118551E1
3.097658417E1	-5.606729506E1
3.108676158E1	-5.984330204E1
3.119825804E1	-6.395375274E1
3.130766829E1	-6.043430132E1
3.141861088E1	-5.761059817E1
3.153004537E1	-5.658406489E1
3.163669750E1	-5.109333060E1
3.174343913E1	-5.576825531E1
3.185007325E1	-5.702673904E1
3.195909500E1	-5.820134730E1
3.207181858E1	-5.805206261E1
3.218333233E1	-5.841424300E1
3.229533733E1	-5.949781279E1
3.240171592E1	-6.732901519E1
3.251276900E1	-6.182345538E1
3.262115208E1	-5.896329003E1
3.273244783E1	-6.439573780E1
3.284123596E1	-6.118049568E1
3.295131758E1	-6.045895434E1
3.305704133E1	-6.181083769E1
3.316035575E1	-6.060983378E1
3.328036404E1	-6.176120963E1
3.338944012E1	-6.071140672E1
3.350094433E1	-6.167531061E1
3.360703617E1	-6.304819859E1
3.371699387E1	-6.450809352E1
3.382643762E1	-6.496656433E1
3.393342967E1	-6.492099088E1
3.404713658E1	-6.622053631E1
3.415228092E1	-6.516131219E1
3.426292467E1	-6.696034094E1
3.436855213E1	-6.505729638E1
3.447964238E1	-6.580711571E1
3.458935529E1	-6.380469042E1
3.470010596E1	-6.325686211E1
3.480844683E1	-6.443309558E1
3.491688800E1	-6.552105171E1
3.502900804E1	-6.518429132E1
3.513719800E1	-6.512429246E1
3.524642442E1	-6.653399228E1
3.535777929E1	-6.518334988E1
3.546693800E1	-6.496697441E1
3.557785308E1	-6.552857715E1
3.568914883E1	-6.469165987E1
3.580054979E1	-6.487561974E1
3.590629167E1	-6.469114482E1
3.601694296E1	-6.617776724E1
3.612973092E1	-6.488330533E1
3.623355183E1	-6.364779506E1
3.634453679E1	-6.418682998E1
3.645815338E1	-6.527946062E1
3.656686583E1	-6.351095462E1
3.667667746E1	-6.253505185E1
3.678741354E1	-6.096491427E1
3.689800154E1	-6.353823331E1
3.700993329E1	-6.149106621E1
3.712138371E1	-6.071908806E1
3.723041333E1	-6.501210781E1
3.733938133E1	-6.435050974E1
3.745026300E1	-6.523125544E1
3.755857050E1	-6.576387987E1
3.767159754E1	-6.067570669E1
3.778355717E1	-6.273967548E1
3.788653842E1	-6.387365428E1
3.799738162E1	-6.062319334E1
3.810255621E1	-6.515078880E1
3.820472171E1	-6.402958649E1
3.831320500E1	-6.300286452E1
3.842578900E1	-6.297006050E1
3.854656296E1	-6.258125899E1
3.865239488E1	-6.035621582E1
3.876393992E1	-6.311270783E1
3.887241388E1	-6.284292073E1
3.898410488E1	-6.115956828E1
3.908969633E1	-6.542202654E1
3.920046604E1	-6.221670033E1
3.930784725E1	-6.432262245E1
3.941709150E1	-6.190428905E1
3.952805879E1	-6.291541614E1
3.963996654E1	-6.053657081E1
3.975044183E1	-6.351149013E1
3.986325183E1	-6.432124832E1
3.997201762E1	-6.211601691E1
4.008153721E1	-6.540745180E1
4.019123033E1	-6.321426474E1
4.030053075E1	-6.393174885E1
4.040658450E1	-6.230838394E1
4.051717700E1	-6.167519599E1
4.062585629E1	-6.202633768E1
4.073418546E1	-6.373663785E1
4.084664942E1	-6.496039838E1
4.095042354E1	-6.625339570E1
4.106013108E1	-6.191912980E1
4.117176162E1	-6.347984458E1
4.128534892E1	-6.066326004E1
4.139673804E1	-6.072920465E1
4.150732646E1	-6.307807483E1
4.161729104E1	-6.659473180E1
4.172651329E1	-6.469612362E1
4.183623667E1	-6.653985017E1
4.194681800E1	-6.256873247E1
